Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.4400000000000001
MOGAT,No Balancing,0.4900000000000002
HyperTMO,No Balancing,0.4700000000000002
RGCN,No Balancing,0.49600000000000016
VEGN,No Balancing,0.4560000000000001
FastHGTConv,No Balancing,0.5160000000000002
SGNN,No Balancing,0.4560000000000001
HeteroGATv2,SMOTE,0.4940000000000001
MOGAT,SMOTE,0.5200000000000002
HyperTMO,SMOTE,0.5140000000000002
RGCN,SMOTE,0.5080000000000002
VEGN,SMOTE,0.4900000000000002
FastHGTConv,SMOTE,0.35600000000000004
SGNN,SMOTE,0.5160000000000002
HeteroGATv2,CTGAN,0.5320000000000003
MOGAT,CTGAN,0.5360000000000003
HyperTMO,CTGAN,0.5160000000000002
RGCN,CTGAN,0.5280000000000002
VEGN,CTGAN,0.5480000000000003
FastHGTConv,CTGAN,0.5380000000000003
SGNN,CTGAN,0.48000000000000015
HeteroGATv2,ROS,0.49600000000000016
MOGAT,ROS,0.5080000000000002
HyperTMO,ROS,0.5420000000000003
RGCN,ROS,0.4660000000000002
VEGN,ROS,0.5340000000000001
FastHGTConv,ROS,0.5360000000000003
SGNN,ROS,0.5080000000000002
