Model,Pipeline,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,recall_0_mean,recall_0_std,f1_mean,f1_std,threshold_mean,threshold_std
FastHGTConv,CTGAN,0.9151,0.0167,0.8719,0.0394,0.8163,0.0738,0.9076,0.0269,0.8456,0.075,0.8577,0.0379,0.569,0.048
FastHGTConv,No Balancing,0.9291,0.0147,0.8793,0.0202,0.8272,0.0518,0.9076,0.0347,0.8585,0.0557,0.8639,0.0165,0.457,0.0859
FastHGTConv,ROS,0.9181,0.0204,0.8763,0.0176,0.8315,0.0416,0.89,0.0342,0.8663,0.0484,0.8585,0.0144,0.577,0.0697
FastHGTConv,SMOTE,0.9246,0.0164,0.8793,0.0192,0.8283,0.0457,0.9043,0.0343,0.8611,0.048,0.8633,0.0181,0.548,0.0452
HeteroGATv2,CTGAN,0.9082,0.0263,0.8644,0.0304,0.8108,0.0469,0.8865,0.0159,0.8483,0.0441,0.8466,0.0312,0.581,0.0449
HeteroGATv2,No Balancing,0.9112,0.0193,0.8718,0.0163,0.8099,0.0348,0.9113,0.0279,0.8432,0.039,0.8568,0.015,0.516,0.0371
HeteroGATv2,ROS,0.9088,0.0222,0.8748,0.0234,0.8143,0.0334,0.9113,0.0281,0.8483,0.0337,0.8597,0.0242,0.56,0.0146
HeteroGATv2,SMOTE,0.906,0.0278,0.8718,0.0215,0.817,0.0321,0.8971,0.0201,0.8534,0.0315,0.8549,0.0226,0.558,0.0289
HyperTMO,CTGAN,0.8315,0.0235,0.7705,0.0172,0.7028,0.031,0.7944,0.077,0.753,0.0568,0.7432,0.027,0.568,0.0241
HyperTMO,No Balancing,0.837,0.0233,0.781,0.0118,0.7135,0.0081,0.8016,0.0624,0.766,0.027,0.7538,0.0244,0.52,0.0087
HyperTMO,ROS,0.8291,0.0234,0.7839,0.0183,0.7335,0.0176,0.7658,0.0844,0.7967,0.0404,0.747,0.0349,0.573,0.0189
HyperTMO,SMOTE,0.8413,0.0223,0.79,0.0404,0.7829,0.0942,0.7125,0.0735,0.8456,0.083,0.7405,0.0413,0.583,0.0418
MOGAT,CTGAN,0.8664,0.0312,0.8093,0.0369,0.7442,0.0481,0.8371,0.045,0.7891,0.0505,0.7872,0.0375,0.555,0.005
MOGAT,No Balancing,0.9185,0.0164,0.8778,0.0102,0.8249,0.0179,0.9007,0.0099,0.8611,0.0172,0.8611,0.0107,0.56,0.0426
MOGAT,ROS,0.9057,0.016,0.8733,0.0237,0.8194,0.0463,0.9006,0.027,0.8533,0.0491,0.8571,0.0223,0.56,0.0285
MOGAT,SMOTE,0.9169,0.0189,0.8793,0.0178,0.8191,0.0374,0.9184,0.0323,0.8508,0.0418,0.865,0.0167,0.541,0.037
RGCN,CTGAN,0.8248,0.0326,0.7691,0.0475,0.7064,0.0758,0.7943,0.027,0.7507,0.0984,0.745,0.0332,0.553,0.0755
RGCN,No Balancing,0.8242,0.0295,0.7676,0.0503,0.7209,0.094,0.7622,0.0715,0.7712,0.1072,0.7349,0.0404,0.506,0.0582
RGCN,ROS,0.8192,0.031,0.7557,0.0338,0.6781,0.0463,0.8086,0.0402,0.7173,0.0691,0.7362,0.0253,0.532,0.0464
RGCN,SMOTE,0.8133,0.0308,0.7572,0.031,0.6944,0.0395,0.7588,0.0684,0.7557,0.0474,0.7235,0.0382,0.521,0.0233
SGNN,CTGAN,0.8146,0.0371,0.7691,0.0368,0.7207,0.0308,0.7344,0.0745,0.7942,0.0253,0.7266,0.0499,0.555,0.0274
SGNN,No Balancing,0.8329,0.0315,0.775,0.0258,0.7193,0.0271,0.7627,0.0403,0.7841,0.0241,0.7401,0.0299,0.544,0.0156
SGNN,ROS,0.8394,0.0282,0.7854,0.0155,0.7363,0.0374,0.7693,0.043,0.7968,0.0498,0.7508,0.0118,0.56,0.0366
SGNN,SMOTE,0.8241,0.0282,0.7646,0.0237,0.6962,0.02,0.7805,0.0577,0.7532,0.0206,0.7353,0.0321,0.559,0.0213
VEGN,CTGAN,0.8223,0.0318,0.7512,0.0331,0.678,0.0436,0.7873,0.0328,0.725,0.0654,0.7274,0.0245,0.56,0.0215
VEGN,No Balancing,0.8196,0.0314,0.7587,0.0418,0.7005,0.067,0.7658,0.0355,0.7532,0.0948,0.7288,0.0246,0.539,0.0368
VEGN,ROS,0.8204,0.031,0.7646,0.0387,0.7082,0.0598,0.7658,0.0453,0.7635,0.0871,0.7332,0.0265,0.588,0.034
VEGN,SMOTE,0.8152,0.0262,0.7542,0.0289,0.6844,0.0455,0.7835,0.04,0.7326,0.0734,0.7287,0.0164,0.502,0.0554
