Model,Dataset,Accuracy,Precision,Recall,F1,ROC_AUC,CV_F1_Avg
RandomForest,Test,0.7797619047619048,0.7802502299017472,0.7797619047619048,0.7799781778505183,0.8846938775510205,0.8596095837109534
RandomForest,External (CGGA),0.6993006993006993,0.7286900059877278,0.6993006993006993,0.705368078249434,0.7482949701619779,0.8596095837109534
LogisticRegression,Test,0.8690476190476191,0.8745014245014244,0.8690476190476191,0.8698006517155453,0.9170553935860059,0.8761469715798004
LogisticRegression,External (CGGA),0.6888111888111889,0.7220179516755229,0.6888111888111889,0.6952432140716659,0.7664641943734014,0.8761469715798004
XGBoost,Test,0.8095238095238095,0.8134057971014494,0.8095238095238095,0.8104301850516703,0.9016034985422742,0.856862947404478
XGBoost,External (CGGA),0.6153846153846154,0.6395143622200584,0.6153846153846154,0.6225038627784624,0.6695705456095481,0.856862947404478
AdaBoost,Test,0.8690476190476191,0.8829365079365078,0.8690476190476191,0.8699633699633699,0.9206997084548104,0.8760871925641546
AdaBoost,External (CGGA),0.6923076923076923,0.7293466807165436,0.6923076923076923,0.6987497351133715,0.7678228900255755,0.8760871925641546
ExtraTrees,Test,0.7619047619047619,0.7605466428995842,0.7619047619047619,0.7607843137254902,0.8537900874635569,0.8403734261161583
ExtraTrees,External (CGGA),0.6258741258741258,0.6926159058332971,0.6258741258741258,0.6321212964499907,0.6922953964194373,0.8403734261161583
CatBoost,Test,0.8392857142857143,0.8421146953405018,0.8392857142857143,0.8399530601191552,0.9170553935860059,0.8788466926624199
CatBoost,External (CGGA),0.6643356643356644,0.7246100053792361,0.6643356643356644,0.6706004704819696,0.7618819266837169,0.8788466926624199
LightGBM,Test,0.7797619047619048,0.7847985347985349,0.7797619047619048,0.7809271856890904,0.9013119533527697,0.8415870723495571
LightGBM,External (CGGA),0.6398601398601399,0.6584026477786765,0.6398601398601399,0.6457690628295816,0.7136615515771527,0.8415870723495571
RidgeClassifier,Test,0.8690476190476191,0.8829365079365078,0.8690476190476191,0.8699633699633699,0.9158892128279884,0.872266601441473
RidgeClassifier,External (CGGA),0.6818181818181818,0.7285674243536526,0.6818181818181818,0.6884051827913963,0.7588981244671782,0.872266601441473
Lasso_Logistic,Test,0.8690476190476191,0.8745014245014244,0.8690476190476191,0.8698006517155453,0.9183673469387755,0.8748913703163588
Lasso_Logistic,External (CGGA),0.6783216783216783,0.7128840607101476,0.6783216783216783,0.6850071615131856,0.7517050298380221,0.8748913703163588
