Pipeline,CTGAN,CTGAN,No Balancing,No Balancing,ROS,ROS,SMOTE,SMOTE
Dataset,CGGA,TCGA Test,CGGA,TCGA Test,CGGA,TCGA Test,CGGA,TCGA Test
Model,,,,,,,,
FastHGTConv,0.6,0.7724,0.6199,0.7943,0.5992,0.8188,0.6452,0.8188
HeteroGATv2,0.6023,0.7799,0.6312,0.7792,0.6284,0.7733,0.6473,0.7821
HyperTMO,0.5375,0.6718,0.5515,0.654,0.54,0.7413,0.5321,0.7253
MOGAT,0.5692,0.7692,0.6409,0.8322,0.6729,0.8477,0.6292,0.828
RGCN,0.56,0.7293,0.5182,0.7349,0.562,0.7246,0.5217,0.4752
SGNN,0.497,0.7215,0.4912,0.7361,0.5239,0.7632,0.519,0.7123
VEGN,0.5263,0.7261,0.5271,0.7114,0.5789,0.7075,0.5143,0.7222
