Model,Pipeline,AUC Drop,F1 Drop,Accuracy Drop,TCGA AUC,CGGA AUC
SGNN,SMOTE,0.21450000000000002,0.19330000000000003,0.236,0.8418,0.6273
SGNN,No Balancing,0.20679999999999998,0.24489999999999995,0.07800000000000007,0.8469,0.6401
FastHGTConv,ROS,0.1956,0.21960000000000002,0.1855,0.9171,0.7215
SGNN,CTGAN,0.19429999999999992,0.22450000000000003,0.028299999999999992,0.8341,0.6398
RGCN,SMOTE,0.16510000000000002,-0.04650000000000004,-0.007800000000000029,0.8338,0.6687
SGNN,ROS,0.1572,0.23929999999999996,0.37659999999999993,0.8405,0.6833
MOGAT,No Balancing,0.15179999999999993,0.19130000000000003,0.1764,0.9206,0.7688
VEGN,SMOTE,0.14549999999999996,0.20789999999999997,0.2374,0.8289,0.6834
RGCN,No Balancing,0.14400000000000002,0.2167,0.1996,0.8259,0.6819
VEGN,No Balancing,0.14400000000000002,0.18430000000000002,0.20199999999999996,0.8287,0.6847
MOGAT,CTGAN,0.1431,0.19999999999999996,0.16679999999999995,0.8564,0.7133
HyperTMO,ROS,0.14090000000000003,0.20129999999999992,0.10150000000000003,0.8324,0.6915
VEGN,ROS,0.14059999999999995,0.12860000000000005,0.023699999999999943,0.8261,0.6855
RGCN,ROS,0.1392,0.16259999999999997,0.14440000000000008,0.8303,0.6911
VEGN,CTGAN,0.1391,0.19979999999999998,0.2475,0.8264,0.6873
HyperTMO,SMOTE,0.1358999999999999,0.19319999999999993,0.05900000000000005,0.8251,0.6892
HeteroGATv2,CTGAN,0.1341,0.1776000000000001,0.15179999999999993,0.8758,0.7417
FastHGTConv,SMOTE,0.13380000000000003,0.17359999999999998,0.10850000000000004,0.9131,0.7793
RGCN,CTGAN,0.13359999999999994,0.1692999999999999,0.13140000000000007,0.8188,0.6852
HyperTMO,CTGAN,0.13250000000000006,0.13429999999999997,0.0027000000000000357,0.8262,0.6937
FastHGTConv,CTGAN,0.13239999999999996,0.1724,0.19519999999999993,0.8742,0.7418
HyperTMO,No Balancing,0.12890000000000001,0.10250000000000004,-0.007900000000000018,0.8245,0.6956
MOGAT,SMOTE,0.12649999999999995,0.19879999999999998,0.1855,0.9184,0.7919
HeteroGATv2,ROS,0.12530000000000008,0.14490000000000003,0.13679999999999992,0.8987,0.7734
FastHGTConv,No Balancing,0.12290000000000001,0.1744,0.1875,0.9115,0.7886
HeteroGATv2,No Balancing,0.122,0.14800000000000002,0.1612,0.8952,0.7732
MOGAT,ROS,0.11380000000000001,0.17479999999999996,0.1079,0.923,0.8092
HeteroGATv2,SMOTE,0.08630000000000004,0.13480000000000003,0.0948,0.8726,0.7863
