Model,Dataset,AUC,F1,Accuracy
FastHGTConv,CGGA,0.7793,0.6452,0.7308
FastHGTConv,TCGA Test,0.9131,0.8188,0.8393
HeteroGATv2,CGGA,0.7863,0.6473,0.7028
HeteroGATv2,TCGA Test,0.8726,0.7821,0.7976
HyperTMO,CGGA,0.6892,0.5321,0.6434
HyperTMO,TCGA Test,0.8251,0.7253,0.7024
MOGAT,CGGA,0.7919,0.6292,0.6538
MOGAT,TCGA Test,0.9184,0.828,0.8393
RGCN,CGGA,0.6687,0.5217,0.6923
RGCN,TCGA Test,0.8338,0.4752,0.6845
SGNN,CGGA,0.6273,0.519,0.514
SGNN,TCGA Test,0.8418,0.7123,0.75
VEGN,CGGA,0.6834,0.5143,0.465
VEGN,TCGA Test,0.8289,0.7222,0.7024
